FieldName,HDF5Field,TypeString,PandasType,SparkType
Pos,Coordinates,ARRAY<DOUBLE>,float64,ArrayType
Vel,Velocities,ARRAY<DOUBLE>,float64,ArrayType
PId,ParticleIDs,LONG,int64,LongType
Mass,Masses,DOUBLE,float64,DoubleType
Rho,Density,FLOAT,float32,FloatType
U,InternalEnergy,FLOAT,float32,FloatType
Ne,ElectronAbundance,FLOAT,float32,FloatType
Nh,NeutralHydrogenAbundance,FLOAT,float32,FloatType
Hsml,SmoothingLength,FLOAT,float32,FloatType
Sfr,StarFormationRate,FLOAT,float32,FloatType
Tmax,TemperatureMax,FLOAT,float32,FloatType
Age,StellarFormationTime,FLOAT,float32,FloatType
Zmet,Metallicity,ARRAY<DOUBLE>,float32,ArrayType
Mc,PhEWMcloud,FLOAT,float32,FloatType
MinPotId,PhEWMinPotID,LONG,int64,LongType
Mwind,PhEWWindMass,DOUBLE,float64,DoubleType
