PId,snapnum,birthTag,Mgain
368907,0,,
573529,0,,
531766,0,,
552789,0,,
552787,0,,
490434,0,,
430812,0,,
552219,0,,
593694,0,,
676635,0,,
325559,0,,
367468,0,,
366462,0,,
345718,0,,
346151,0,,
366172,0,,
718117,0,,
614432,0,,
345717,0,,
325122,0,,
304528,0,,
327577,0,,
490442,0,,
511335,0,,
511034,0,,
469705,0,,
304956,0,,
346432,0,,
325985,0,,
326420,0,,
285093,0,,
263781,0,,
614856,0,,
656473,0,,
656185,0,,
739417,0,,
760010,0,,
738985,0,,
697518,0,,
656187,0,,
531629,0,,
407646,0,,
428239,0,,
428526,0,,
408073,0,,
407638,0,,
428234,0,,
510887,0,,
326414,0,,
469717,0,,
449269,0,,
326423,0,,
368050,0,,
366900,0,,
492471,0,,
492472,0,,
533512,0,,
470869,0,,
408949,0,,
450566,0,,
430403,0,,
471586,0,,
450704,0,,
388058,0,,
450263,0,,
555102,0,,
638046,0,,
658637,0,,
596715,0,,
658631,0,,
617447,0,,
389782,0,,
285241,0,,
408086,0,,
305981,0,,
305405,0,,
428822,0,,
428966,0,,
449704,0,,
387636,0,,
449412,0,,
428819,0,,
387200,0,,
448978,0,,
469715,0,,
531631,0,,
572959,0,,
593839,0,,
593842,0,,
656195,0,,
676934,0,,
697813,0,,
676935,0,,
656342,0,,
594133,0,,
635607,0,,
284959,0,,
305403,0,,
285087,0,,
531643,0,,
429948,0,,
574091,0,,
553499,0,,
490857,0,,
429689,0,,
470877,0,,
533230,0,,
491901,0,,
512633,0,,
574698,0,,
574986,0,,
492041,0,,
658218,0,,
637481,0,,
637769,0,,
492753,0,,
513637,0,,
513493,0,,
739720,0,,
698393,0,,
719551,0,,
761025,0,,
408201,0,,
408922,0,,
408923,0,,
656760,0,,
326556,0,,
368329,0,,
306400,0,,
366875,0,,
493317,0,,
513476,0,,
513621,0,,
575684,0,,
555381,0,,
451269,0,,
657781,0,,
472293,0,,
554806,0,,
658491,0,,
678795,0,,
679086,0,,
596282,0,,
616583,0,,
657485,0,,
635886,0,,
760732,0,,
739850,0,,
430675,0,,
740867,0,,
348028,0,,
